"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"299","TF-PRA -- VHL/P","VHL/P - P",2711,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,677.75,9014.075,0,22.4,40769780297.4784
"300","TF-PRA -- VHL/P","VHL/P - VHnL/P",2695,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,13.3,22.4,673.75,8960.875,0,22.4,40289963596.96
"301","TF-PRA -- VHL/S","VHL/S - VHnL/P",353,"DEFORESTACION PRADERA","TF-PRA","VHL/S","VHL/S",17,8.1,66.4,88.25,714.825,0,66.4,2252867368.7844
"302","TF-PRA -- VHL/S","VHL/S - P",182,"DEFORESTACION PRADERA","TF-PRA","VHL/S","VHL/S",17,8.1,66.4,45.5,368.55,0,66.4,598865079.7584
"303","TF-PRA -- VHnL/P",NA,NA,NA,NA,NA,"VHnL/P",156,1.2,59.2,NA,NA,0,59.2,NA
"304","TF-TF -- BC","BCO/S - BC",40,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,40,23.4092166212323,0,350.339774820201,67259348.1403618
"305","TF-TF -- BC","BCO/P - BC",8199,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,8199,4798.30417693709,0,350.339774820201,2825884739317.36
"306","TF-TF -- BC","SP/S - BC",68,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,68,39.7956682560949,0,350.339774820201,194379516.125645
"307","TF-TF -- BC","SSC/S - BC",83,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,83,48.5741244890571,0,350.339774820201,289593530.836845
"308","TF-TF -- BC","BE/S - BC",2,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,2,1.17046083106162,0,350.339774820201,168148.370350904
"309","TF-TF -- BC","SC/P - BC",66,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,66,38.6252074250333,0,350.339774820201,183113575.312135
"310","TF-TF -- BC","SSC/P - BC",3,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,3,1.75569124659242,0,350.339774820201,378333.833289535
"311","TF-TF -- BC","SP/P - BC",1860,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,1860,1088.5285728873,0,350.339774820201,145431525516.497
"312","TF-TF -- BC","BC - BC",34798,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,34798,20364.8479996411,0,350.339774820201,50902749212300
"313","TF-TF -- BCO/P","SC/S - BCO/P",1062,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,1062,524.21328144163,0,20.5315677300188,115840457.536363
"314","TF-TF -- BCO/P","BM/P - BCO/P",147,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,147,72.560595453785,0,20.5315677300188,2219452.73185233
"315","TF-TF -- BCO/P","MXL/S - BCO/P",338,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,338,166.840008594417,0,20.5315677300188,11733960.7523596
"316","TF-TF -- BCO/P","BE/S - BCO/P",10937,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,10937,5398.60702366018,0,20.5315677300188,12285919203.8353
"317","TF-TF -- BCO/P","BCO/P - BCO/P",12766178,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,12766178,6301506.64863272,0,20.5315677300188,16739135379911790
"318","TF-TF -- BCO/P","MXL/P - BCO/P",47830,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,47830,23609.3420445887,0,20.5315677300188,234969770363.64
"319","TF-TF -- BCO/P","BM/S - BCO/P",1054,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,1054,520.264405498567,0,20.5315677300188,114101788.655582
"320","TF-TF -- BCO/P","SP/P - BCO/P",32,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,32,15.7955037722525,0,20.5315677300188,105174.677098283
"321","TF-TF -- BCO/P","SSC/S - BCO/P",2,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,2,0.987218985765782,0,20.5315677300188,410.838582415166
"322","TF-TF -- BCO/P","BC - BCO/P",293,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,293,144.627581414687,0,20.5315677300188,8817520.36543991
"323","TF-TF -- BCO/P","BE/P - BCO/P",9505,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,9505,4691.75822985188,0,20.5315677300188,9279305499.8157
"324","TF-TF -- BCO/P","SSC/P - BCO/P",5,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,5,2.46804746441446,0,20.5315677300188,2567.74114009479
"325","TF-TF -- BCO/P","SC/P - BCO/P",160,"PERMANENCIA","TF-TF","BCO/P","BCO/P",3536,0.493609492882891,20.5315677300188,160,78.9775188612626,0,20.5315677300188,2629366.92745707
"326","TF-TF -- BCO/S","SC/P - BCO/S",1,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,1,0.391621148752684,0,39.5517373791762,239.918316213421
"327","TF-TF -- BCO/S","BE/P - BCO/S",8346,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,8346,3268.4701074899,0,39.5517373791762,16711682097.3602
"328","TF-TF -- BCO/S","SSC/P - BCO/S",1,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,1,0.391621148752684,0,39.5517373791762,239.918316213421
