"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"289","TF-PRA -- SP/P","SP/P - VHnL/P",8484,"DEFORESTACION PRADERA","TF-PRA","SP/P","SP/P",2375,34.6119392194407,1.73530928302119,2121,73411.9230844337,0,1.73530928302119,16228821440.8431
"290","TF-PRA -- SP/S","SP/S - VHnL/P",1024,"DEFORESTACION PRADERA","TF-PRA","SP/S","SP/S",585,15.9681392300485,5.70731664463471,256,4087.84364289242,0,5.70731664463471,544317739.236301
"291","TF-PRA -- SP/S","SP/S - P",65677,"DEFORESTACION PRADERA","TF-PRA","SP/S","SP/S",585,15.9681392300485,5.70731664463471,16419.25,262184.870052974,0,5.70731664463471,2239129380329.77
"292","TF-PRA -- SSC/P","SSC/P - VHnL/P",666,"DEFORESTACION PRADERA","TF-PRA","SSC/P","SSC/P",993,24.0077561960402,2.79113710065852,166.5,3997.29140664069,0,2.79113710065852,124478388.979965
"293","TF-PRA -- SSC/P","SSC/P - P",33218,"DEFORESTACION PRADERA","TF-PRA","SSC/P","SSC/P",993,24.0077561960402,2.79113710065852,8304.5,199372.411330016,0,2.79113710065852,309665242654.33
"294","TF-PRA -- SSC/S","SSC/S - VHnL/P",107,"DEFORESTACION PRADERA","TF-PRA","SSC/S","SSC/S",491,12.2805826111201,5.70400459515029,26.75,328.505584847463,0,5.70400459515029,3511116.56696396
"295","TF-PRA -- SSC/S","SSC/S - P",52333,"DEFORESTACION PRADERA","TF-PRA","SSC/S","SSC/S",491,12.2805826111201,5.70400459515029,13083.25,160669.932446937,0,5.70400459515029,839902657893.497
"296","TF-PRA -- VHL/P","VHL/P - EOTnL/P",691,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,172.75,1711.29140952897,0,12.8639267663998,484612998.170174
"297","TF-PRA -- VHL/P","VHL/P - MXnL/P",161,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,40.25,398.723468790397,0,12.8639267663998,26308174.6196583
"298","TF-PRA -- VHL/P","VHL/P - MXnL/S",90,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,22.5,222.888895597116,0,12.8639267663998,8220987.40091943
"299","TF-PRA -- VHL/P","VHL/P - P",2711,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,677.75,6713.90884404203,0,12.8639267663998,7459298709.11022
"300","TF-PRA -- VHL/P","VHL/P - VHnL/P",2695,"DEFORESTACION PRADERA","TF-PRA","VHL/P","VHL/P",246,9.90617313764962,12.8639267663998,673.75,6674.28415149143,0,12.8639267663998,7371510742.90899
"301","TF-PRA -- VHL/S","VHL/S - VHnL/P",353,"DEFORESTACION PRADERA","TF-PRA","VHL/S","VHL/S",17,6.09345440909091,45.9382936460084,88.25,537.747351602273,0,45.9382936460084,610247880.029053
"302","TF-PRA -- VHL/S","VHL/S - P",182,"DEFORESTACION PRADERA","TF-PRA","VHL/S","VHL/S",17,6.09345440909091,45.9382936460084,45.5,277.252175613636,0,45.9382936460084,162218224.831933
"303","TF-PRA -- VHnL/P",NA,NA,NA,NA,NA,"VHnL/P",156,0.900376447833066,35.8825761760501,NA,NA,0,35.8825761760501,NA
"304","TF-TF -- BC","BCO/S - BC",40,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,40,23.4092166212323,0,350.339774820201,67259348.1403618
"305","TF-TF -- BC","BCO/P - BC",8199,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,8199,4798.30417693709,0,350.339774820201,2825884739317.36
"306","TF-TF -- BC","SP/S - BC",68,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,68,39.7956682560949,0,350.339774820201,194379516.125645
"307","TF-TF -- BC","SSC/S - BC",83,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,83,48.5741244890571,0,350.339774820201,289593530.836845
"308","TF-TF -- BC","BE/S - BC",2,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,2,1.17046083106162,0,350.339774820201,168148.370350904
"309","TF-TF -- BC","SC/P - BC",66,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,66,38.6252074250333,0,350.339774820201,183113575.312135
"310","TF-TF -- BC","SSC/P - BC",3,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,3,1.75569124659242,0,350.339774820201,378333.833289535
"311","TF-TF -- BC","SP/P - BC",1860,"PERMANENCIA","TF-TF","BC","BC",6,0.585230415530808,350.339774820201,1860,1088.5285728873,0,350.339774820201,145431525516.497
